",""variables"""
"1,""...1"""
"2,""ID de la réponse"""
"3,""La réponse est lancée"""
"4,""Réponse terminée"""
"5,""Adresse IP"""
"6,""Nom du collecteur"""
"7,""Lieu"""
"8,""Date"""
"9,""Quel est votre état civil ?"""
"10,""Quel âge avez-vous ?"""
"11,""Combien d'enfants avez-vous ?"""
"12,""Parmi les catégories suivantes, laquelle décrit le mieux votre statut professionnel actuel ?"""
"13,""D'où venez vous ?"""
"14,""Quelles sont les langues que vous maîtrisez ? (Plusieurs réponses possibles)"""
"15,""Quel est le plus haut niveau d'études que vous ayez atteint ?"""
"16,""Où est votre logement principal?"""
"17,""Distance d'Ahouli"""
"18,""Vivez-vous avec les membres de votre famille?"""
"19,""Combien de fois rendez-vous visite à votre famille?"""
"20,""Quel est le nombre de pièce habitable de votre logement?"""
"21,""Combien de personnes vivent dans le logement ?"""
"22,""Est-ce que le logement a besoin de réparation majeure?"""
"23,""Est-ce que le logement a besoin de réparation mineure?"""
"24,""Est-ce que le logement a l'eau courante?"""
"25,""Est-ce que le logement a des toilettes?"""
"26,""Quelles sont vos sources de revenus principales?"""
"27,""Quel est le montant total de vos revenus annuels?"""
"28,""Avez-vous accès à des services de santé?"""
"29,""Avez vous une assurance médicale?"""
"30,""Y a-t-il un système d'assainissement dans la communauté?"""
"31,""Y a-t-il une école primaire dans la communauté?"""
"32,""Y a-t-il une école secondaire dans la communauté?"""
"33,""Y a-t-il un système de transport collectif dans la communauté?"""
"34,""Où allez vous pour acheter l'épicerie?"""
"35,""Comment évalueriez-vous votre santé générale?"""
"36,""Avez-vous consulté un médecin ou un autre professionnel de santé au cours des 12 derniers mois?"""
"37,""Est-ce que vous consommez de l'alcool?"""
"38,""Fumez-vous du tabac?"""
"39,""Avez-vous déjà été diagnostiqué avec une maladie cardiovasculaire?"""
"40,""Avez-vous déjà été diagnostiqué avec une autre maladie chronique?"""
"41,""Avez-vous des problèmes respiratoires?"""
"42,""Avez-vous des problèmes de peau?"""
"43,""Avez-vous des antécédents de problèmes neurologiques?"""
"44,""Avez-vous des problèmes digestifs?"""
"45,""Avez-vous des douleurs musculaires ou articulaires fréquentes?"""
"46,""Avez-vous eu une blessure ou un accident au cours des 12 derniers mois?"""
"47,""Avez-vous des difficultés à dormir ou souffrez-vous d'insomnie?"""
"48,""Travaillez-vous dans:"""
"49,""Depuis combien de temps travaillez-vous dans la mine ?"""
"50,""Connaissez-vous les dangers de l'extraction du plomb?"""
"51,""Avez-vous accès à un suivi médical régulier pour détecter et traiter les problèmes de santé liés à l'exposition au plomb et aux conditions de travail dans la mine?"""
"52,""Utilisez-vous des équipements de sécurité ou de protection individuelle lors de votre travail dans la mine?"""
"53,""Selon vous, quels sont les impacts à long terme de l’extraction artisanale sur la santé des travailleurs et de la communauté?"""
"54,""Selon vous, les impacts à long terme de l'extraction artisanale sur la santé des travailleurs sont-ils préoccupants?"""
"55,""Avez-vous ou l'un de vos proches soufferts d'accidents ou de problèmes de santé à cause du travail dans les mines?"""
"56,""Existe-t-il un plan d'action ou un protocole pour gérer les situations d'urgence ou les accidents dans la mine?"""
"57,""Quelles sont les problèmes de santé les plus courant dans votre communauté"""
"58,""Quelles sont les risques en santé environnementale qui pourraient être liés à la mine?  "
"[Qualité de l’eau]"""
"59,""Quelles sont les risques en santé environnementale qui pourraient être liés à la mine?  "
"[Qualité de l’air]"""
"60,""Quelles sont les risques en santé environnementale qui pourraient être liés à la mine?  "
"[Qualité de l’alimentation]"""
"61,""Quelles sont les risques en santé environnementale qui pourraient être liés à la mine?  "
"[Impact sur le bétail]"""
"62,""Quelles sont les risques en santé environnementale qui pourraient être liés à la mine?  "
"[Impact sur les cultures]"""
"63,""En général, diriez-vous que la qualité de l'environnement de travail est:"""
"64,""En général, diriez-vous que la qualité de l'environnement social est:"""
"65,""En général, diriez-vous que la qualité de l'environnement naturel est:"""
"66,""Selon vous, la santé générale de la communauté est :"""
"67,""Qu'est ce qui pourrait  améliorer la situation socioéconomique et sanitaire de la communauté?"""
"68,""Ressentez-vous du stress ou de l'anxiété liés à votre propre travail ou au travail de votre famille dans l'exploitation minière ?"""
"69,""Ressentez-vous du stress ou de l'anxiété en raison de votre situation économique ou de celle de votre famille?"""
"70,""Ressentez-vous un sentiment de désespoir ou de dépression lié aux conditions de travail et de vie dans la communauté?"""
"71,""Avez-vous le sentiment que votre santé mentale a été impactée par l'exploitation minière ?"""


Code de couleur L 
vert : cleaner et ok
Orange : � r�viser
Rouge : � travailler avec Hubert
Blanc : pas encore entam�
